"Mortality statistics - underlying cause, sex and age",,,,,,,,,,
ONS Crown Copyright Reserved [from Nomis on 17 January 2024],,,,,,,,,,
,,,,,,,,,,
cause of death,LC01b Accidental falls,,,,,,,,,
gender,Total,,,,,,,,,
age,total (all ages),,,,,,,,,
measure,Age-standardised mortality rate,,,,,,,,,
,,,,,,,,,,
local authority: county / unitary (as of April 2021),2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Nottinghamshire,4.23,4.42,5.79,5.55,5.45,6.48,5.49,7.94,10.23,10.72
North Northamptonshire,3.29,6.68,5.53,7.29,4.81,7.45,4.32,6.43,7.25,11.72
West Northamptonshire,5.35,5.74,4.07,6.47,9.67,7.16,3.85,7.21,11.68,13.36
"Herefordshire, County of",3.94,5.49,6.66,10.43,6.01,5.5,7.08,8.49,6.9,6.85
Shropshire,9.13,5.23,11.41,11.27,10.05,11.75,14.02,7.39,15.4,12.02
Stoke-on-Trent,28.23,14.78,22.14,21.63,22.93,28.43,14.36,16.56,22.49,15.88
Telford and Wrekin,7.72,6.67,9.31,9.78,8.78,16.2,8.27,9.91,7.49,12.19
Staffordshire,16.69,13.74,20.16,15.52,15.1,21.04,17.33,19.38,17.71,15.71
Warwickshire,7.52,7.61,15.84,14.7,16.32,15.07,15,13.69,15.26,15.11
Birmingham,14.22,16.1,12.93,11.97,16.28,16.66,15.72,14.37,16.01,16.23
Coventry,12.06,14.9,13.8,13.96,21.3,14.09,15.03,14.84,11.47,18.09
Dudley,7.16,9.08,22.43,17.28,21.66,15.32,18.92,22.26,16.55,22.7
Sandwell,7.02,9.73,17.95,17.17,15.79,15.31,15.97,18.79,15.8,18.39
Solihull,11.77,8.65,8.31,9.86,15.27,11.07,12.75,12.57,15.51,19.6
Walsall,12.49,9.2,17.34,16.71,20.2,18.61,22.41,19.09,13.83,20.44
Wolverhampton,9.36,12.42,24.11,14.05,15.94,13.65,15.69,16.38,12.57,14.89
Worcestershire,6.78,10.01,13.11,16.69,18.94,17.24,12.65,10.75,15.9,14.6
Bedford,3.29,6.64,8.78,12.3,12.97,8.68,7.54,7.15,5.25,4.67
Central Bedfordshire,8.33,1.9,11.43,9.68,11.99,10.61,4.99,5.76,4.95,7.61
Luton,2.33,10.42,13.33,9.68,5.34,9.92,3.34,3.59,-,9.5
Peterborough,7.49,7.42,9.45,8.19,6.79,12.1,13.82,6.92,7.89,22.39
Southend-on-Sea,4.74,2.57,5.56,7.68,4.77,3.69,4.62,2.57,3.33,9.03
Thurrock,-,-,6.5,5.39,6.14,5.62,3.69,3.16,3.63,4.97
Cambridgeshire,5.1,5.57,7.29,8.09,7.46,8.44,10.84,8.06,10.54,12.91
Essex,2.95,3.44,6.33,5.83,5.36,4.34,6.05,4.44,5.74,5.97
Hertfordshire,7.27,4.89,6.14,5.74,6.62,7.52,8.23,7.94,6.94,10.75
Norfolk,6.13,7.62,8.42,8.43,9.18,12.91,9.03,11.59,10.32,10.25
Suffolk,5.28,7.19,5.81,8.83,9.06,8.42,8.4,11.28,10.76,8.85
Camden,4.52,4.42,7.14,5.45,7.7,7.1,9.14,7.9,5.54,12.75
City of London,-,-,-,-,-,-,-,-,-,-
Hackney,5.35,3.06,9.93,10.09,8.12,8.24,3.43,6.02,4.57,10.85
Hammersmith and Fulham,6.75,4.92,9.73,8.44,8.73,9.9,6.52,13.26,17.04,16.29
Haringey,7.74,5.73,5.28,6.64,6.43,13.36,7.54,11.38,7.04,11.14
Islington,4.02,8.76,11.2,7.98,9.92,10.05,15.09,5.92,12.8,9.7
Kensington and Chelsea,11.57,7.4,4.68,9.93,8.56,8.71,-,8.39,12.65,15.92
Lambeth,7.88,9.59,9.02,14.64,10.23,6.49,8.41,11.36,3.26,8.04
Lewisham,8.56,4.15,6.56,11.43,8.56,7.02,5.15,7.02,4.9,13.5
Newham,3.06,6.78,2.32,2.79,5.97,2.84,6.37,7.41,13.65,6.22
Southwark,6.99,9.13,13.46,8.88,10.96,7.17,9.35,10.45,7.3,7.13
Tower Hamlets,5.21,11.07,14.45,8.52,16.21,10.26,17.22,14.38,6.86,8.29
Wandsworth,7.84,6.44,8.21,7.44,4.89,5.99,5.74,7.54,5.68,8.27
Westminster,10.14,7.36,5.23,4.61,5.83,9.2,8.16,7.74,6.98,10.71
Barking and Dagenham,-,-,4.3,4.37,2.67,13.86,5.66,11.65,4.33,5.04
Barnet,2.85,3.86,5.16,5.57,4.94,7.28,6.89,7.27,10.1,8.93
Bexley,3.9,6.31,5.57,5.35,4.57,9.92,6.56,6.76,6.92,8.92
Brent,5.94,6.53,5.96,3.86,7.35,7.25,4.54,9,7.48,13.14
Bromley,2.53,3.72,4.82,4.25,7.74,7.84,5.29,2.58,4.46,10.85
Croydon,6.32,10.3,6.56,4.6,5.3,5.11,3.6,4.36,2.84,6.87
Ealing,2.32,2.04,7.3,9.45,3.94,8.89,9.64,10.7,8.53,9.85
Enfield,4.9,3.72,5.49,3.79,5.97,7.14,8.1,9.87,8.75,9.01
Greenwich,2.93,4.39,11.16,11.88,10.23,1.81,9.57,7.04,8.87,13.74
Harrow,3.68,5.25,5.45,8.65,5.42,8.23,5.18,10.77,9.09,11.57
Havering,2.91,4.82,5.82,5.39,3.92,7.54,7.99,11.66,4.7,7.84
Hillingdon,5.18,3.44,8.48,10.85,6.57,13.88,8.67,11.65,18.02,21.23
Hounslow,6.12,4.96,4.7,10.47,8.45,7.19,8.14,16.54,15.71,14.76
Kingston upon Thames,4.64,-,7.26,10.06,7.03,8.07,6.84,13.74,6.02,14.19
Merton,7.95,6.81,10.27,8.66,8.63,6.5,7.83,11.26,3.61,4.84
Redbridge,3.42,6.46,4.66,6.43,3.72,2.94,6.77,6.58,4.66,7.34
Richmond upon Thames,2.72,5.25,8.05,11.58,7.67,7.97,7.88,5.48,5.47,12.31
Sutton,3.94,3.07,5.42,4.26,5.21,7.43,8.09,2.21,5.91,5.24
Waltham Forest,6.17,-,3.59,6.7,2.89,6.85,3.36,7,3.52,5.31
Bracknell Forest,11.41,9.22,5.01,8.44,10.23,12.71,13.42,13.16,8.59,11.27
Brighton and Hove,9.05,11.34,12.2,15.43,17.48,21.28,16.98,13.74,18.2,22.53
Isle of Wight,3.11,3.76,11.24,15.05,16.99,19.03,19.53,20.26,33.68,15.31
Medway,6.42,7.92,13.7,6.47,10.8,13.18,14.27,19.54,15.55,21.92
Milton Keynes,13.64,13.62,12.5,8.91,18.34,18.08,14.26,19.62,15.48,16.66
Portsmouth,10.71,8.82,7.33,11.99,10.29,8.27,11.07,13.57,17.5,18.35
Reading,12.93,-,9.11,15.59,8.7,11.67,16.47,22.19,11.1,11.16
Slough,7.91,5.74,4.37,9.51,8.35,3.24,6.3,11.82,20.93,9.84
Southampton,7.19,10,16.74,9.9,12.22,10.62,10.63,13.99,19.21,20.81
West Berkshire,4.76,7.74,-,6.28,6.37,4.39,12.07,17.55,13.35,16.27
Windsor and Maidenhead,2.69,5.84,6.67,11.39,7.14,8.64,9.36,9.13,15.12,10.94
Wokingham,7.16,5.93,5.11,6.3,11.81,7.38,4.76,10.87,11.17,13.05
Buckinghamshire,8.47,8.51,12.08,7.03,10.48,9.91,11.11,9.91,11.96,12.76
East Sussex,6.89,6.93,6.62,7.12,7.98,6.83,8.15,9.7,9.75,9.23
Hampshire,6.93,8.95,9.95,9.53,7.6,6.58,7.82,8.76,14.42,14.59
Kent,5.84,5.2,8.34,9.63,11.04,13.8,12.65,14.63,13.62,17.47
Oxfordshire,4.19,8.27,7.7,9.67,6.91,7.51,12.19,13.28,11.84,10.48
Surrey,8.87,8.36,7.44,7.63,6.75,6.8,13.03,10.83,7.27,9.26
West Sussex,7.21,6.73,7.86,7.75,7.87,8.2,10.62,8.21,10.25,11.77
Bath and North East Somerset,5.14,6.51,6.88,13.6,17.4,17.25,12.79,16.18,15.68,14.9
"Bristol, City of",11.65,10.28,11.1,18.76,18.2,22.8,16.42,23.83,16.52,21.4
Cornwall,10.08,17.01,14.04,17.17,19.69,27.38,22.38,23.25,21.99,30.38
Isles of Scilly,-,-,-,-,-,-,-,-,-,-
North Somerset,7.94,9.44,9.7,14.27,12.89,19.87,13.91,14.67,15.65,18.96
Plymouth,9.67,9.4,10.06,11.75,16.46,18.12,17.62,27.05,25.49,26.22
"Bournemouth, Christchurch and Poole",5.03,4.12,4.84,4.29,4.04,9.41,9.79,7.82,8.33,8.02
South Gloucestershire,8.26,6.9,7.77,16.2,18.82,16.48,12.3,20.48,14.68,20.51
Swindon,9.24,5.23,8.32,8.44,14.74,6.93,12.53,10.65,6.39,10.55
Torbay,9.38,12.78,8.4,9.56,12.12,14.15,11.6,11.07,16.8,19.58
Wiltshire,5.98,6.68,9.23,9.98,9.56,9.29,8.13,9,9.5,12.64
Devon,11.07,9.9,9.95,10.36,10.99,8.32,6.82,9.22,9.93,12.12
Dorset,4.37,3.38,4.56,5,7.74,6.97,7.01,7.5,5.72,6.78
Gloucestershire,6.35,7.97,9.38,10.11,7.08,8.01,8.77,13.47,9.22,9.72
Somerset,7.2,6.96,8.29,10.13,8.84,7.94,8.03,7.44,12.39,9.65
Isle of Anglesey,9.72,7.06,7.96,13.08,-,-,8.98,6.23,-,14.16
Gwynedd,5.39,10.98,10.17,18.97,10.47,4.77,4.22,7.29,3.38,12.02
Conwy,14.02,15.75,14.83,13.06,16.26,16.48,11.28,7.92,14.9,20.27
Denbighshire,18.83,19.02,15.61,21.04,16.71,12.94,20.89,16.06,19.67,13.65
Flintshire,25.12,19.24,10.34,16.58,17.3,12.04,15.47,10,13.17,20.47
Wrexham,26.78,21.28,19.75,24.71,23.91,10.87,18.39,17.22,24.32,14.05
Powys,9.19,5.22,7.88,5.07,5.01,6.68,8.88,7.55,7.98,12.99
Ceredigion,-,5.29,-,-,6.06,3.29,3.32,-,13.24,17.78
Pembrokeshire,3.76,10.83,4.11,2.82,3.38,5.02,6.9,14.3,11.28,25.23
Carmarthenshire,2.72,1.56,5.16,7.65,7.5,8.49,10.04,8.87,14.42,17.45
Swansea,3.73,8.27,7.1,13.15,9.49,15.28,7.38,10.39,14.27,18.61
Neath Port Talbot,10,12.5,12.9,16.22,15.7,10.15,8.34,14.39,13.25,20.65
Bridgend,13.95,9.52,21.53,9.94,9.01,11.06,17.4,9.03,8.23,13.58
Vale of Glamorgan,8.49,10.8,5.23,6.03,7.93,6.92,6.47,9.15,6.24,5.77
Cardiff,6.12,5.36,9.12,6.62,7.01,5.71,9.33,6.85,6.67,9.01
Rhondda Cynon Taff,12.93,14.09,12.11,20.88,14.55,10.38,14.91,6.53,11.62,16.25
Merthyr Tydfil,16.44,26.27,23,24.66,10.14,17.96,10.1,10.01,8.55,16.32
Caerphilly,5.4,9.78,9.43,12.72,7.99,8.48,14.87,10.33,11.08,22.82
Blaenau Gwent,6.55,10.87,6.13,12.26,6.24,13.71,7.31,7.76,15.23,20.7
Torfaen,3.49,-,7.64,8.78,4.11,8.64,11.51,9.51,12.48,23.88
Monmouthshire,2.61,6.19,9.63,9.78,8.51,4.4,5.76,3.18,6.19,10.76
Newport,7.63,5.43,8.26,7.33,6.23,7.42,6.36,7.94,15.01,26.33
,,,,,,,,,,
#NAME?,,,,,,,,,,
